I_q1_15	I_q2_15	Q_q1_15	Q_q2_15
4.71642e+11	3.78946e+11	-2.53737e+11	3.97906e+10
-1.28783e+10	1.33071e+10	-9.77606e+10	-3.45588e+11
2.99584e+11	1.06039e+11	-1.82706e+11	1.72179e+10
9.15688e+10	3.51201e+11	-2.82477e+11	-2.54349e+11
1.67262e+10	-2.8543e+11	-3.07772e+11	-2.90584e+11
-2.05101e+11	2.58438e+10	-1.27069e+11	-1.68068e+11
2.23617e+11	4.71264e+10	-1.822e+11	-9.81424e+10
-2.35303e+11	2.57429e+10	-4.42513e+11	-2.87696e+11
1.17809e+11	-7.0465e+10	-2.61253e+11	-1.38619e+11
8.37527e+10	5.66188e+11	-1.27198e+11	-1.00783e+11
3.56419e+11	5.9536e+11	-3.22444e+11	-1.11175e+11
-1.53815e+11	-2.47285e+10	-3.36506e+11	-3.03672e+11
-1.32708e+11	-1.05708e+11	7.20616e+10	-1.61494e+11
5.04508e+11	4.29989e+11	-3.23126e+11	-1.19329e+11
4.09246e+11	3.91645e+11	2.94011e+10	-4.88818e+10
3.15527e+11	3.45111e+11	2.57675e+10	-1.90746e+11
4.74943e+11	4.94158e+11	-8.19366e+10	-2.9679e+10
2.94873e+11	4.55743e+11	-4.2199e+10	-4.26963e+11
-2.14526e+11	1.18221e+11	-1.08629e+11	-4.59313e+10
1.50617e+11	1.74757e+11	-5.34713e+10	-9.0047e+10
1.55356e+11	5.6465e+10	-2.11302e+10	-1.81704e+11
1.58324e+11	1.48051e+11	-2.46043e+11	-1.52018e+10
-1.62417e+11	2.13835e+10	-1.46144e+11	-4.64105e+11
-2.93218e+10	1.10991e+10	-1.6498e+11	-2.74956e+11
4.08581e+11	3.33494e+11	-1.18791e+11	-2.26788e+10
4.40404e+10	-1.35531e+11	-1.61503e+11	-2.20143e+11
5.44742e+10	3.38466e+11	7.45542e+09	-2.72086e+11
1.09538e+10	8.83218e+10	-1.89929e+11	-7.66847e+10
3.05254e+10	1.87811e+11	-1.56866e+11	3.41034e+11
3.32353e+11	2.93792e+11	-4.89937e+11	-1.14331e+11
-8.11324e+10	9.95588e+10	-2.53391e+11	-1.80676e+11
6.85211e+10	-8.15604e+10	-4.80466e+10	-5.6412e+11
-2.5637e+11	-6.93347e+10	-8.37855e+10	-2.94219e+11
1.65001e+11	-5.21239e+10	-2.56104e+11	3.51567e+10
-7.15759e+10	8.07207e+10	-3.85217e+11	-3.94529e+11
1.7436e+11	1.99666e+11	-1.46252e+11	-1.54813e+11
1.92147e+11	1.84584e+11	-3.65234e+11	-2.45538e+11
-3.5936e+10	8.13838e+10	-1.31079e+11	-1.21061e+11
3.6667e+11	-4.68381e+09	-2.57551e+11	-8.05147e+10
4.36153e+11	3.23853e+11	-1.959e+11	-3.88037e+10
-2.67774e+09	3.42852e+11	-1.68758e+11	-3.66461e+10
1.1737e+11	-9.1587e+10	-3.20002e+11	-3.72772e+11
2.32369e+11	1.51887e+11	-2.09272e+10	-9.17714e+10
-2.5324e+11	5.12197e+11	-1.23147e+10	-1.7641e+11
-3.5043e+11	-1.46356e+11	-2.85856e+11	-3.17942e+11
-5.46366e+10	8.75432e+10	-3.00553e+11	7.52136e+08
-2.93382e+11	-9.83059e+10	-3.89627e+11	-2.35637e+11
-1.44678e+11	-1.98422e+11	5.25817e+10	-2.07917e+11
2.17846e+11	2.82558e+11	-4.2174e+10	-7.41802e+10
2.86804e+11	1.78702e+11	-1.62462e+11	-7.72502e+10
-3.11904e+10	-1.26809e+11	-2.82797e+11	-8.33791e+10
-7.61282e+10	-9.42983e+09	-1.67492e+11	-3.63186e+11
3.27267e+11	2.30182e+11	-1.1721e+11	-2.95413e+11
7.02824e+10	-1.07704e+11	-2.32075e+11	-1.3404e+11
-1.05485e+11	2.92201e+11	-2.47076e+11	-3.19482e+11
1.19e+11	-2.6231e+11	-5.48978e+11	-9.69086e+10
-1.3626e+11	1.03414e+11	-2.05239e+11	-4.6555e+10
7.85276e+10	2.70381e+11	-3.02467e+10	-1.85102e+10
7.68863e+09	2.37345e+11	-2.77441e+11	-1.28821e+11
6.06455e+10	3.74928e+11	-1.67383e+11	-2.20431e+11
-2.74777e+09	3.21501e+11	-2.07445e+11	-6.42948e+10
-5.42238e+10	-2.03475e+09	1.18167e+11	-3.80764e+11
-3.16732e+10	-4.16342e+10	1.29406e+11	-1.34787e+11
-1.22127e+11	1.53441e+10	-8.53349e+10	-1.30129e+11
